transaction_id,restaurant_id,order_date,total_amount,tip_amount,items_count
T000001,R016,12/7/25,16.78,2.86,6
T000002,R009,12/20/25,122.63,0.76,13
T000003,R019,12/29/25,64.61,0.11,10
T000004,R022,12/15/25,63.78,0,3
T000005,R005,12/11/25,22.13,0.52,7
T000006,R027,12/8/25,18.75,0.59,4
T000007,R002,12/29/25,37.8,0.61,14
T000008,R030,12/21/25,2.03,0,3
T000009,R015,12/7/25,70.01,1.36,8
T000010,R007,12/26/25,292.36,1.49,13
T000011,R004,12/19/25,286.04,1.65,4
T000012,R001,12/23/25,199.32,1.32,11
T000013,R013,12/11/25,28.37,0,1
T000014,R020,12/11/25,51.28,0.56,6
T000015,R022,12/24/25,101.37,0.18,10
T000016,R007,12/21/25,300.44,0.44,11
T000017,R015,12/4/25,9.95,1.6,11
T000018,R023,12/8/25,20.96,0.21,1
T000019,R014,12/24/25,4.84,1.3,5
T000020,R023,12/3/25,107.81,1.3,7
T000021,R019,12/22/25,32.61,0,6
T000022,R022,12/21/25,9.09,1.47,14
T000023,R029,12/2/25,38.98,0.42,2
T000024,R024,12/24/25,33.69,3.46,11
T000025,R020,12/12/25,15.52,0.93,4
T000026,R029,12/30/25,4.22,2.3,11
T000027,R024,12/6/25,38.97,0,2
T000028,R018,12/2/25,25.71,0.08,11
T000029,R010,12/28/25,51.79,0,1
T000030,R009,12/21/25,25.7,0,3
T000031,R025,12/1/25,66.91,0,3
T000032,R008,12/12/25,28.1,2.39,12
T000033,R026,12/26/25,28.81,0,7
T000034,R030,12/22/25,73.25,0,1
T000035,R029,12/29/25,18.08,0.42,9
T000036,R010,12/12/25,5.04,1.65,11
T000037,R017,12/25/25,1.02,0,6
T000038,R002,12/17/25,187.41,6.31,4
T000039,R006,12/27/25,33.89,4.03,3
T000040,R026,12/27/25,42.62,0,3
T000041,R005,12/31/25,8.38,0.38,2
T000042,R028,12/10/25,5.13,0,2
T000043,R030,12/28/25,0.51,0.56,14
T000044,R009,12/28/25,15.11,2.42,12
T000045,R005,12/16/25,31.2,0.58,13
T000046,R018,12/15/25,17.43,1.54,10
T000047,R026,12/30/25,20.14,0.18,5
T000048,R020,12/30/25,82.08,1.37,9
T000049,R009,12/15/25,14.98,0,2
T000050,R017,12/30/25,25.25,0.93,2
T000051,R027,12/19/25,53.58,0.19,12
T000052,R017,12/12/25,17.68,1.4,6
T000053,R012,12/23/25,127.46,9.32,13
T000054,R007,12/20/25,317.29,1.22,10
T000055,R027,12/25/25,104.52,0.11,2
T000056,R003,12/3/25,5.57,0.03,12
T000057,R010,12/5/25,91.41,1.08,4
T000058,R002,12/19/25,87.14,3.14,6
T000059,R025,12/7/25,10.46,1.11,5
T000060,R003,12/21/25,21.51,0.46,1
T000061,R016,12/9/25,136.98,0.69,6
T000062,R002,12/7/25,118.19,2.66,1
T000063,R028,12/18/25,13.95,1.2,3
T000064,R024,12/4/25,35.12,0,10
T000065,R010,12/25/25,9.61,0,5
T000066,R006,12/28/25,2.76,2.08,14
T000067,R022,12/14/25,4.83,0.54,10
T000068,R026,12/18/25,4.8,0,13
T000069,R011,12/26/25,5.77,0,5
T000070,R023,12/9/25,5.23,1.65,13
T000071,R007,12/26/25,111.37,12.25,10
T000072,R027,12/21/25,7.03,0.14,6
T000073,R029,12/2/25,14.84,0.19,12
T000074,R015,12/20/25,79.48,1.35,10
T000075,R006,12/28/25,22.48,1.51,8
T000076,R020,12/15/25,38.55,0,5
T000077,R027,12/28/25,6.62,0.12,14
T000078,R009,12/7/25,7.47,0.09,11
T000079,R022,12/12/25,1.46,2.36,1
T000080,R020,12/29/25,6.48,0.37,5
T000081,R012,12/8/25,48.23,1.99,3
T000082,R019,12/15/25,6.82,0.27,4
T000083,R020,12/3/25,3.25,0.77,13
T000084,R003,12/14/25,4.5,0.08,8
T000085,R015,12/17/25,21.62,0.77,7
T000086,R002,12/4/25,36.76,0.22,11
T000087,R030,12/18/25,15.85,0,5
T000088,R021,12/8/25,103.65,0.76,2
T000089,R002,12/4/25,185.52,2.69,6
T000090,R022,12/2/25,1.4,2.97,11
T000091,R003,12/30/25,56.23,1.84,6
T000092,R006,12/6/25,34.6,0.8,10
T000093,R015,12/22/25,2.99,0.55,10
T000094,R027,12/10/25,72.38,0.57,14
T000095,R010,12/4/25,88.78,1.94,11
T000096,R009,12/22/25,2.21,7.2,6
T000097,R001,12/29/25,11.35,1.14,14
T000098,R016,12/31/25,57.43,1.43,9
T000099,R006,12/18/25,48.28,1.38,11
T000100,R009,12/26/25,7.14,0.88,8
T000101,R027,12/12/25,8.22,0.09,8
T000102,R004,12/2/25,16.2,0.87,1
T000103,R027,12/10/25,23.19,0,5
T000104,R028,12/30/25,33.71,0.27,7
T000105,R002,12/4/25,68.51,0,6
T000106,R029,12/14/25,21.73,0.31,5
T000107,R004,12/31/25,48.17,0,8
T000108,R001,12/16/25,1.31,0,3
T000109,R019,12/15/25,10.18,0,6
T000110,R026,12/8/25,43.73,1.48,5
T000111,R025,12/14/25,78.95,0,8
T000112,R010,12/23/25,25.09,0,4
T000113,R021,12/28/25,97.62,0,8
T000114,R015,12/25/25,3.97,3.67,10
T000115,R027,12/30/25,20.76,0,14
T000116,R022,12/8/25,26.62,0.71,2
T000117,R019,12/21/25,9.72,0,9
T000118,R016,12/16/25,10.98,0,13
T000119,R021,12/13/25,72.8,4.41,9
T000120,R027,12/18/25,0.71,1.09,14
T000121,R024,12/15/25,13.61,0,10
T000122,R022,12/21/25,8.31,1.03,10
T000123,R004,12/24/25,13.89,1.37,13
T000124,R002,12/26/25,19.21,0.4,6
T000125,R030,12/25/25,77.42,1.48,4
T000126,R025,12/28/25,31.51,0.14,4
T000127,R013,12/28/25,39.78,1.84,13
T000128,R028,12/28/25,54.48,2.67,6
T000129,R001,12/13/25,24.15,2.16,5
T000130,R017,12/9/25,3.18,0.04,6
T000131,R013,12/29/25,26.96,0.63,7
T000132,R004,12/15/25,30.94,0.53,7
T000133,R007,12/13/25,184.95,1.47,9
T000134,R017,12/1/25,19.78,0.1,8
T000135,R009,12/25/25,4.78,2.9,13
T000136,R004,12/7/25,11.68,0.85,6
T000137,R019,12/9/25,15.79,0.64,12
T000138,R001,12/24/25,36.34,0.53,6
T000139,R010,12/1/25,29.6,1.04,14
T000140,R004,12/12/25,15.41,0,5
T000141,R009,12/8/25,150.72,1.27,1
T000142,R013,12/24/25,32.58,3.53,9
T000143,R014,12/31/25,9.48,0.72,9
T000144,R010,12/11/25,3.76,5.09,9
T000145,R006,12/19/25,5.81,2.67,11
T000146,R016,12/17/25,9.88,0.41,8
T000147,R006,12/8/25,6.13,0,13
T000148,R017,12/3/25,7.23,0.17,10
T000149,R010,12/3/25,11.75,2.38,13
T000150,R018,12/1/25,6.66,0.84,3
T000151,R027,12/27/25,79.48,2.21,1
T000152,R022,12/5/25,2.93,3.54,11
T000153,R018,12/10/25,26.02,2.3,12
T000154,R003,12/7/25,18.49,2.19,12
T000155,R020,12/26/25,141.35,0.38,8
T000156,R027,12/9/25,4.16,0.09,7
T000157,R021,12/28/25,81.47,1.35,13
T000158,R025,12/7/25,122.12,0.33,5
T000159,R028,12/9/25,70.22,1.25,10
T000160,R015,12/8/25,59.45,0.59,7
T000161,R015,12/12/25,10.44,5.2,10
T000162,R004,12/2/25,6.56,0,4
T000163,R029,12/1/25,38.66,3.03,9
T000164,R027,12/16/25,92.76,0,11
T000165,R009,12/23/25,28.48,2.77,10
T000166,R027,12/23/25,29.67,0,14
T000167,R026,12/30/25,11.5,0.93,2
T000168,R019,12/24/25,51.36,0,9
T000169,R024,12/5/25,7.25,1.52,9
T000170,R028,12/3/25,13.69,0,5
T000171,R017,12/12/25,19.4,0.73,11
T000172,R011,12/8/25,24.8,0.53,1
T000173,R025,12/22/25,9.72,0.28,7
T000174,R009,12/27/25,4.27,0.48,10
T000175,R010,12/3/25,33.01,0.07,10
T000176,R018,12/1/25,11.92,0,4
T000177,R020,12/3/25,30.47,0.2,9
T000178,R013,12/5/25,5.87,5.77,6
T000179,R008,12/15/25,22.96,0.84,13
T000180,R007,12/14/25,114.33,9.51,3
T000181,R017,12/3/25,1.86,0,6
T000182,R021,12/1/25,48.18,1.01,13
T000183,R023,12/5/25,5.05,0,10
T000184,R015,12/26/25,2.29,1.01,6
T000185,R020,12/23/25,161.04,0,5
T000186,R015,12/31/25,13.62,1.79,2
T000187,R001,12/14/25,58.1,0,10
T000188,R025,12/7/25,10.29,1.69,10
T000189,R014,12/27/25,40.04,1.47,2
T000190,R005,12/9/25,49.98,0,7
T000191,R011,12/15/25,31.69,0,2
T000192,R016,12/15/25,22.32,2.12,12
T000193,R002,12/26/25,83.87,2.25,6
T000194,R008,12/10/25,15.02,0,5
T000195,R011,12/28/25,92.84,7.38,4
T000196,R029,12/13/25,62.15,0.06,7
T000197,R018,12/19/25,117.36,2.08,8
T000198,R003,12/31/25,4.65,7.2,4
T000199,R030,12/7/25,45.94,0.48,1
T000200,R026,12/17/25,97.51,0.16,1
T000201,R001,12/20/25,7,0.18,1
T000202,R011,12/29/25,2.41,0.51,11
T000203,R016,12/4/25,47.3,0,1
T000204,R018,12/30/25,29.9,1.65,5
T000205,R030,12/5/25,64.54,0,4
T000206,R016,12/23/25,5.27,0.75,13
T000207,R023,12/7/25,55.51,10,14
T000208,R010,12/13/25,7.88,2.94,9
T000209,R018,12/15/25,6.26,1.67,3
T000210,R006,12/11/25,6.28,0.51,14
T000211,R019,12/29/25,58.98,0,7
T000212,R004,12/4/25,38.3,0,11
T000213,R027,12/13/25,25.91,0.58,8
